id,content,gold_label,human_check_label
51077160_1,我是一个十分帅气的人，理科上的战神，游戏中的光明神，遇事临危不乱，处变不惊，有许多值得信赖的伙件，双眼中时常有光，对任何事物都报有新鲜感，遇到挫折决不放弃，身高1米8，身强力壮。无所畏惧，压力较小，迎难而上，精神抖擞，很有实力。,2,0
51058704_1,??1.我是***。2.这样突然问我有些很奇怪。3.我不知道还有什么可以介绍了。4.在介绍一遍吧。5.我是***。6.今年16岁。7.还请老师多多关照。8.我喜欢画画。9.不喜如不熟悉的人说话。10.除此之外不知道还有什么描述自己的了。听课，安静，摸鱼，感觉自己挺好的，勿扰。,1,0
51058912_1,我的名字叫***。我是一名来自****、高2023级的学生。我身高167cm，但平时身高174cm，体重54kg。长得点帅，发型是紧跟朝流的钢夹烫，周围同学都因此得了“风湿病”。梦想是成为一名羽毛球运动员，因为热爱这项运动，想要有所成就。然后我戴眼镜，因为我近视。最后没了。身心具疲，焦虑不安，精神恍惚，神情迷离，充满活力，精神抖数。,2,0
51063177_1,我是男性17岁高中性，属于青少年，将成年。美术生，干画画的活。长相一般，有点万人相，很难抓住特征画像自己。放松的时候，看不出来是在笑还是严肃的表情。看起来有自信，但多看两眼又不觉得。比较爱恨分明。做事理性为主，感性为辅。笑的很假。带着眼镜，眼睛比较细长，眼角向上。鼻子有些件鹰勾。浮燥，大喜大悲。,2,0
51077163_1,我是***，14岁，本人积极向上且乐观面对所有事情。我爱笑，与同学们关系都很好，遇到的人都真诚待我，我也真诚待他人，虽然我没有那么自律，学习成绩没有特别优异，但我的父母始终为我骄傲且一直鼓励我。我也认为自己长得不错，虽然我一点微胖，但这没影响我什么，最后我也会努力不让自己留下任何遗憾，不辜负老师的期待。同时，我是一个有创造力，心中有自己的小世界的人。我有好奇心，想去探探索许多未知的事，但又是也会有些害怕。快乐，不自律，自信，焦虑，不够努力。,1,0
51059980_1,我叫***，女，16岁，高二学生。喜欢听歌，看小说，看漫画。偶尔自己写小说，就是没有毅力写完。没有什么大优点，也没什么大缺点。平时阳光开朗，偶尔会精神失控，语言混乱?和许多人一样，有不能说的小秘密?想考师范学校，以后当英语老师，毕竟总的来说，英语算是我优势科目，其他都是劣势。每周二和周四都在认真组织早读(一个科代表的自我修养)。最近有好好学习吗?大概没有，不过以前好像也不怎么认真，嘛，无所谓了。心情起伏不定，枯燥，烦心，精神失常，迷茫。,2,1
51077286_1,我是****上学的一名学生，九年级，身高一米八的十四岁男性。在同学眼中，我是一个开朗的人。在朋友眼中，我是一个善解人意的人，在家庭中，我是一个好吃懒作、疏懒成性的人。至于我眼中的“我”，我目前并没有认清自己是怎样的一个人，不过在以后，我会慢慢寻找自己是怎样的这个一直困惑我的问题。我大概只是社会中的一粒微尘，虽然并没有什么可讲之处，但还是希望我认识到我本身。开心，悲伤，难过，惆怅，奇怪，期待。,2,0
51071576_1,我是一个普通的女生，学习普通，长相普通。但我的家庭很辛福，我的人际关系比较好，有很多用友，她们都比较喜欢和我交流，一起玩乐。我的生活有很多乐趣。我对未来充满希望。我喜欢宅在家果，沉浸在二次元的奇妙世界中。我喜欢奇妙、有趣的东西。也喜欢探究不同性格样貌的我。总是要为一件很久之前做错的事情而尴尬。我是一个比较多变的人，我想助别人，如果帮了倒忙以后就会尽可能地避免类似事情的发生。我不知道这是对是错。总得来说，我对自己的“普通”比较满意。焦虑、厌倦、后悔、高兴、快乐、喜悦。,1,0
51059734_1,我的自画像：我戴着透明框的眼镜，脸比较长和圆，皮肤比较黄。我的身高1.55左右，体重100斤上下。应该是4、6分身体比例，腿比较粗。同学说我手掌较于身高来说比较大。我来自*******，高中在读****中学就读。好累，好无聊没灵感，难受。,2,1
51078117_1,我是一名普通的中学生，同时我是女儿、小姨、妹妹。我自认为我是开朗的也是内向的。我长像平平，但不是一无是处，会做饭，吉他等。以前我是耐心的，现在会有点焦躁。在长辈眼里我是乖巧的。内心世界丰富但不敢做。活在舒适圈内，不愿尝试太陌生的东西。生活算规律。自己比较独立，可以自己照顾自己。比较迷茫，不确定，情绪不稳定，有一点偷懒，偶尔会有一些不开心。,1,0
51059800_1,在我的自画像上，是一个身高162cm的女孩。扎着低马尾，戴了个细黑框眼镜，有着浓密的眉毛，一双丹凤眼，高挺的鼻梁以及红润的M型嘴唇、黄皮偏白，体型偏瘦。在自画像上露出洁白的牙齿，有一颗虎牙，笑起来阳光明媚，是个爱笑的女孩儿、自画像上穿的是校服，看起来更加青春活力，自画像里放着古筝、琵琶以及跳舞的红绸，由此可以看出她对音乐、舞蹈的喜爱。画的下方有一只可爱圆滚滚的猫猫，这只猫猫表现出对她的亲近，猫的周围也有许多玩具，说明她是一个爱猫人士。墙上还有许多世界各地的照片，表明了她热爱旅游，热爱生活，热爱世界，别忘了照片上都有当地美食，她可是一个热爱美食的小吃食哦。若无闲时挂心头，便是人间好时节。乐观积极向上，勇于挑战困难，突破自我，忠于自己。,1,0
